:,,,,,,,,,,,,,
Naïve Method,,,,,,,,,,,,,
,,ME,RMSE,MAE,MPE,MAPE,,,,,,,
Training set,,0.06666667,9.039641,7.977778,-1.567805,15.44334,,,0.06666667,9.039641,7.977778,-1.567805,15.44334
,,,,,,,,,,,,,
Simple Smoothing Method ,,,,,,,,,,,,,
,,ME,RMSE,MAE,MPE,MAPE,,,,,,,
Training set,,0.06667622,9.040023,7.978162,-1.568024,15.44408,,,0.06667622,9.040023,7.978162,-1.568024,15.44408
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Holt-Winters Method,,,,,,,,,-0.4833796,3.945304,3.072574,-1.390878,6.558226
,,ME,RMSE,MAE,MPE,MAPE,,,,,,,
Training set,,-0.4833796,3.945304,3.072574,-1.390878,6.558226,,,,,,,
,,,,,,,,,,,,,
Simple Moving Averages ,,,,,,,,,,,,,
,,ME,RMSE,MAE,MPE,MAPE,,,,,,,
Training set,,-0.01403464,1.35312,1.023845,-0.1024058,2.078669,,,-0.01403464,1.35312,1.023845,-0.1024058,2.078669
,,,,,,,,,,,,,
